time0,time1,time2,D.value
0,31,31,0.0136881138
0,31,31,0.0151391973
0,31,31,0.0132549422
0,31,31,0.0154541493
0,31,32,0.0147604625
0,31,32,0.0154603282
0,31,32,0.0149176134
0,31,32,0.0146636604
0,31,31,0.0109103587
0,31,31,0.0116359273
0,31,31,0.0135065192
0,31,31,0.0139524971
0,31,31,0.0134062524
0,31,31,0.0137873738
0,31,31,0.012607837
0,31,31,0.0130087561
0,31,31,0.0134542766
0,31,31,0.0127158986
0,31,31,0.0126293514
0,31,31,0.0131350995
0,31,31,0.013530305
0,31,31,0.0128441416
0,31,31,0.0108220298
0,31,31,0.0123773456
0,31,31,0.0104121011
0,31,31,0.0127263935
0,31,32,0.0125622278
0,31,32,0.0131789462
0,31,32,0.0126463895
0,31,32,0.0121770561
30,31,31,0.0026387688
0,31,31,0.0151485315
0,31,31,0.0155555715
0,31,31,0.0150676653
0,31,31,0.015333071
0,31,31,0.0141563321
0,31,31,0.0146106424
0,31,31,0.0149881104
0,31,31,0.0142826625
0,31,31,0.0144166625
0,31,31,0.0158576579
0,31,31,0.0162052512
0,31,31,0.0143938143
0,31,31,0.0122651094
0,31,31,0.0140496169
0,31,31,0.0119720532
0,31,31,0.014432739
0,31,32,0.013994284
0,31,32,0.0147118613
0,31,32,0.0141897869
0,31,32,0.0137361796
0,31,31,0.0156608966
0,31,31,0.0161003511
0,31,31,0.0155576892
0,31,31,0.0159361589
0,31,31,0.014656433
0,31,31,0.0151569102
0,31,31,0.0155567608
0,31,31,0.0147589928
0,31,31,0.0148475984
0,31,31,0.0162165663
0,31,31,0.0166881509
0,31,31,0.0150288427
0,31,31,0.0126779021
0,31,31,0.0145232106
0,31,31,0.0123295544
0,31,31,0.0149464404
0,31,32,0.0146081515
0,31,32,0.0153587413
0,31,32,0.0148135592
0,31,32,0.0143663537
30,31,31,0.0032835741
30,31,31,0.0007983795
0,31,31,0.016991817
0,31,31,0.0155157261
0,31,31,0.0158716705
0,31,31,0.0163865536
0,31,31,0.0154306621
0,31,31,0.0153251575
0,31,31,0.0174110582
0,31,31,0.0180297507
0,31,31,0.0161959842
0,31,31,0.0138791024
0,31,31,0.0160198035
0,31,31,0.0137256895
0,31,31,0.0164997805
0,31,32,0.0154726797
0,31,32,0.0162625998
0,31,32,0.0154118438
0,31,32,0.0148549845
30,31,31,0.0032175762
0,31,31,0.017095165
0,31,31,0.015885358
0,31,31,0.016140095
0,31,31,0.0165013683
0,31,31,0.0157912957
0,31,31,0.015978551
0,31,31,0.0178933389
0,31,31,0.018400845
0,31,31,0.0166469304
0,31,31,0.0144493282
0,31,31,0.016342
0,31,31,0.0142758664
0,31,31,0.0167491382
0,31,32,0.0157651869
0,31,32,0.0166687122
0,31,32,0.0158733388
0,31,32,0.0154170669
0,31,31,0.0168780423
0,31,31,0.0153688629
0,31,31,0.0157053566
0,31,31,0.0162165248
0,31,31,0.0153428747
0,31,31,0.0152492678
0,31,31,0.0172449122
0,31,31,0.0178691391
0,31,31,0.0161093031
0,31,31,0.0138089309
0,31,31,0.0158750237
0,31,31,0.0136598667
0,31,31,0.0163187318
0,31,32,0.0153569685
0,31,32,0.0161570097
0,31,32,0.0152737898
0,31,32,0.0147496709
30,31,31,0.0030785756
0,31,31,0.0161606282
0,31,31,0.0163316819
0,31,31,0.0141975918
0,31,31,0.0160894963
0,31,31,0.0177311442
0,31,31,0.0176370909
0,31,31,0.0162534072
0,31,31,0.0142180717
0,31,31,0.0159980116
0,31,31,0.0139872307
0,31,31,0.016331451
30,31,32,0.0037988353
30,31,32,0.0041986997
0,31,32,0.0156186549
0,31,32,0.0153444054
0,31,31,0.0148346183
0,31,31,0.0152464911
0,31,31,0.0134005244
0,31,31,0.0146798487
0,31,31,0.0164226781
0,31,31,0.0162686493
0,31,31,0.0149212714
0,31,31,0.0129479318
0,31,31,0.0147827566
0,31,31,0.0127368841
0,31,31,0.0151380213
30,31,32,0.00328792
30,31,32,0.003389563
0,31,32,0.0142555321
0,31,32,0.0139236646
30,31,31,0.0027995625
0,31,31,0.0146125594
0,31,31,0.0146262257
0,31,31,0.0166637118
0,31,31,0.0168923056
0,31,31,0.0154505508
0,31,31,0.0134241989
0,31,31,0.0151533649
0,31,31,0.0131584123
0,31,31,0.0155533138
0,31,32,0.0143038849
0,31,32,0.0155124341
30,31,32,0.0029278775
30,31,32,0.0026765352
0,31,31,0.0147942764
0,31,31,0.0151791987
0,31,31,0.0170510673
0,31,31,0.0174044503
0,31,31,0.0158318476
0,31,31,0.0138520232
0,31,31,0.0155874101
0,31,31,0.013663996
0,31,31,0.0159688711
0,31,32,0.0146413875
0,31,32,0.0158948053
30,31,32,0.0033783506
30,31,32,0.0029501047
30,31,31,0.0032519626
0,31,31,0.0162961346
0,31,31,0.0176015406
0,31,31,0.0153806819
0,31,31,0.013219977
0,31,31,0.0152819042
0,31,31,0.0132655579
0,31,31,0.0157107042
0,31,32,0.0134549936
0,31,32,0.0145340849
0,31,32,0.0148765483
0,31,32,0.0143025006
0,31,31,0.0163634305
0,31,31,0.0167953684
0,31,31,0.0153132082
0,31,31,0.0130097824
